yl0I6Ic6iwU	China has other pressing issues, regardless of Trump or anything else. Shin Hyung-kwan, Director ...	NA
zgyonLzwa6U	트럼프의 무차별 관세공격에도 동요하지 않는 의미심장한 시진핑의 반응ㅣ신형관 중국자본연구소 대표 [3부]	NA
S-JGyFnXrwE	그야말로 인재에 미쳐있는 공산당, 괴물같은 결과를 보여주고 있습니다ㅣ신형관 중국자본연구소 대표 [2부]	NA
xxZ-pcTxIOg	미국 특수요원의 암살까지 걱정중? 충격적인 딥시크의 중국 내 위상ㅣ신형관 중국자본연구소 대표 [1부]	NA
mdlgdfkhDAU	[그냥효] 일론 머스크의 꿈과 희생	NA
HCm5nWsJ8Fk	지금 미국의 서민들은 정말 죽기 직전입니다. 트럼프가 구국의 결단을 내려야 합니다ㅣ이선엽 신한투자증권 이사 [2부]	NA
2r346jZ_xvI	It's easy to rack up views by criticizing China, but we need to be objective. Lee Seon-yeop, Dire...	NA
WzzbJZRTIRA	드디어 정부가 밝힌 이중과세 해법! 근데...아무리 봐도 반쪽짜리 느낌입니다....(feat. 이번 논란 관련 Q&A) #한나 #etf # 이중과세	NA
en5S9ysse2s	미국 재정 거덜낸 바이든 정부 강력하게 비판한 트럼프! 과연 이 사태를 해결 할 수 있을까?ㅣ김태홍 그로쓰힐자산운용 대표 [풀영상]	NA
BLiiRE8lPCY	딥시크는 한마디로 "AI 테무", 중국이 이렇게 치고나올 수 있는 원동력은 바로 '이것'ㅣ강정수 박사 [풀영상]	NA
by_lgtAwBd4	[속보효] 트럼프, 모든 철강·알루미늄에 25% 관세 발표! 그런데 중국의 반응이..??	NA
UmmkgTFunWY	[월간아신] 정말로 이러다가는 1~2년 내로 대한민국 시총 1위가 바뀔 수도 있습니다 [1월호 풀영상]	NA
IdYCw5Gm_SA	The Absurd Reason Why the World's Most Powerful Power, the United States, Has Become Weak: This I...	NA
1A-xxYZKmeU	The "Illusion" That "South Korea Has a Choice" Must Disappear | Professor Song Eui-dal of Seoul C...	NA
qMJPjJ5seDM	Trump's aggressive actions are simply too much!?? But it's all calculated and has hidden agendas ...	NA
4V5w3e5ysFQ	[그냥효] 진짜 대한민국에게 다가온 마지막 기회, 이것마저 놓치면 대한민국은 정말로 위기입니다	NA
09IKGQ245lA	A KAIST genius mathematician shares his secrets for a great night's sleep every night | Professor...	NA
Rf_OD0C8La0	사람을 살리는 데에 수학이 필요하다고? 미적분으로 주식 방향까지 맞출 수 있다고?ㅣ김재경 교수 (카이스트 수리과학부, IBS 의생명수학그룹) [1부]	NA
xp-FuzBAw1g	[I don't know] Sam Altman's sudden arrival to Korea has him feeling like he's on fire. How will h...	NA
tabY0v3VjYQ	외국인 투자자 입장에서 전혀 매력이 없는 국장, 이대로 국장은 저무는 것일까ㅣ김태홍 그로쓰힐자산운용 대표 [2부]	NA
M9RPpw9b7H8	트럼프 2.0 정책 부작용, 하반기에 드러날 거라고 생각합니다ㅣ김태홍 그로쓰힐자산운용 대표 [1부]	NA
byFQE6OlMok	[금냥효] 한국은행에 금 104톤이 있는데, 이걸 영국에 보관중입니다. 그런데... 계속 맡겨놔도 될까요?	NA
_w0Ku8yydWc	아직 희망이 남아 있을지도 모릅니다! 삼성전자를 기다리는 봄날ㅣ최도연 SK증권 센터장 [2부]	NA
-EM8WQRwC0M	In the AI ​​and semiconductor markets, where storms rage every day, these are the stocks that wil...	NA
m_kOVUgkEzo	[리뷰효] 팔란티어에 이번 실적과 전망에 대해서 제대로 정리해 드립니다.	NA
g5qYBqq8PWU	[Just Hyo] I think this stock will be ranked #1 in market cap #Amazon	NA
kyE-PluLuK0	The tax benefits you received from ISAs, pension savings, and IRPs are now disappearing! Attentio...	NA
wG7q1x37Fts	서로 눈치만 보던 AI 시장에서 혼자 풀악셀을 밟아버린 딥시크ㅣ강정수 박사 [2부]	NA
vD3B3bdSM9A	제대로 궁지 몰린 챗GPT! 샘 알트만은 딥시크가 밉다...!ㅣ강정수 박사 [1부]	NA
J7MSfFHWEUY	DeepSec, shaking up global stock markets! Founder Liang Wenfeng? Who are you? #ParkJiWon #Celebrity	NA
_Hb6_gGgiPY	[Breaking News] Palantir's stock price soared overnight after its earnings announcement! The reas...	NA
OXnZHXd4RFE	[그냥효] 트럼프발 관세폭탄!! 폭락한 주식시장! 위기를 헤쳐나가는 '방법'	NA
MY8KP8K1yMc	[Breaking News] Canada and Mexico will surrender. The real fight is with China!	NA
CWNMVds039Y	[Special feature on Lunar New Year] All the power in America is gathered 'here'!	NA
6KCTlqXHrmM	[Moraguhyo] Deep Seek's Beneficiary Companies Revealed! Just Memorize These 5 Things	NA
c54gEJ5ACpA	Even the collapsing KOSPI has a way out. Huh? But this is a sector I've seen a lot. | Lee Jin-woo...	NA
IqIxgqpNfHs	정말로 심상치 않아 보이는 미국 경제에 생긴 균열에 대하여ㅣ김준영 DS증권 이코노미스트 [풀영상]	NA
jTRQmPQ2cKM	[월간아신] 봄이 오지 않을 것 같은 삼성전자의 현재 상황에 대하여 [1월호 3부]	NA
nHgxD2jCtxg	[월간아신] 트럼프의 스타게이트 프로젝트 수혜 기업, 딱 여기만 보시면 됩니다 [1월호 2부]	NA
JB6rMicz4IA	[월간아신] SK에 대한 저의 믿음이 더욱 더 확고해진 이유는 '이것' [1월호 1부]	NA
PmX8o2bMtt0	[속보효] 중국발 딥시크? 뭐 어쩔까? 미국 증시 캐리하는 테슬라와 메타	NA
HnbyUqenOsY	[속보효] FOMC 리뷰입니다. 그런데 파월이 트럼프에게 충성을 맹세한 것 같아요	NA
Z8cOjdoIooc	[연수르의 미국주식 몰아보기] 앞으로 미국 주식은 '이렇게' 투자하셔야 합니다	NA
0Aem22z1oSA	Of course, AI also needs electricity in the end. Without it, it's just a tin can. | Kim Hyo-sik, ...	NA
scFjDPPK_Ek	The Deepseak controversy! Lee Hyo-seok and Kim Dante summarize. Here's the bottom line | Kim Dant...	NA
OK5AAe3aVac	China, a perennial runner-up... Is this time truly different? | Shin Hyung-kwan, Director of the ...	NA
E-UGYGYMbAw	미국 나스닥을 폭락시킨 딥시크보다 훨씬 더 무서운 중국의 진짜 비밀병기ㅣ고태봉iM증권 센터장 [풀영상]	NA
lAqaoklz3Zc	[그냥효] 크립토 세상이 다가오고 있는데요... 그럼 역시나 미국이 또 좋네요 [설특집 그냥효 3부]	NA
oEQvd166PkM	[속보효] 중국 딥시크발 나스닥 급락, 이렇게 대응하세요!	NA
Be_gIqUrKsc	[Just Hyo] Deepseek Controversy, But the Real Battle Is Decided Here [Special Lunar New Year Feat...	NA
8ANeuo3173Y	No matter how many times I tell you, it never gets old. It's always new. You absolutely must see ...	NA
KNY50P4Oc8c	단기간에 미국을 다시 위대하게 만들겠다! 폭풍을 예고한 트럼프의 두번째 취임사ㅣ이진우 GFM투자연구소 소장 [1부]	NA
R4IeGToUDgQ	[속보효] 완전 난리났다!! 중국 딥시크 때문에 미국 AI 기업 초비상?	NA
bxaMGHDB-9A	왜 미국의 경제는 두개로 나뉘게 되었는가?ㅣ김준영 DS증권 이코노미스트 [2부]	NA
LQwqzlIx3Zo	처음으로 생각이 바뀌었습니다. 미국이란 거목의 경제에 균열이 생기고 있어요ㅣ김준영 DS증권 이코노미스트 [1부]	NA
GsmhrYFyoeY	[Just Hyo] All of America's power is concentrated here! [Special Lunar New Year Feature, Just Hyo...	NA
lmcGlhl536c	A huge market will open up. Companies that will benefit from the DOGE rain. By Jaehoon Lee	NA
oyub50fOldc	딱 하루 만에 배우는, 누구나 평생 써먹을 수 있는 '초간단' 차트 투자 전략! #리나 #무료강의	NA
mSzGHBFVdO4	[모라구효] 다가오는 2025 첫 FOMC!  파월의 변화를 기대해봐도 좋은 이유?	NA
U6pullS2A0E	[테슬라 전문가 몰아보기] 2025년에도 테슬라는 투자하는 히치하이커를 위한 인터뷰	NA
nanh2NaZLNg	이효석이 간다!	NA
qTKngBtnn9k	[Breaking News] We'll make the US the AI ​​and crypto capital!	NA
7xXyR9hAkik	AI로 벌어지는 미국과 중국의 패권전쟁! 지금부터가 '진짜' 입니다ㅣ고태봉iM증권 센터장 [2부]	NA
9UYEqQ7-fdQ	트럼프와 머스크가 이렇게까지 고군분투 하는 이유는 전부다 '얘네들' 때문입니다ㅣ고태봉iM증권 센터장 [1부]	NA
bEysSHvJc5A	[연수르의 미국주식 10부] 테슬라와 엔비디아, 결국 제대로 한판 붙을 것 같아요. 모두 주목하세요!	NA
IB9PmO8BrWU	[연수르의 미국주식 9부] 영어가 모국어인 미국인을 영어교육에 빠지게 한다? 앞으로가 기대되는 '이곳'	NA
7BRLCEXK-q0	역시 대기업은 대기업입니다!! TR ETF 보유자 분들 모두 얼음!! 매도할 필요 전~혀 없습니다! #한나	NA
eHRgO4mTWF0	[속보효] 진짜 배경에는 '중국'이 있습니다!	NA
U0T7qwpULFE	This year, it's these guys who are ultimately leading the market. Be sure to check it out. | Kim ...	NA
Ya7IyIVz69c	[Just Hyo] We'll explain the '5 reasons' why you're still hesitant to invest in Bitcoin.	NA
_wMyyGQYdhU	[Breaking News] Trump declared a national emergency at his inauguration.	NA
VvvM_X7692Y	[Monthly Guru] BlackRock, Goldman Sachs, and JP Morgan: 2025 Investment Strategies [Full Video]	NA
vQ_lKwy3pbc	[그냥효] 트럼프, 대통령 취임전 벼락같이 발행된 '트럼프 밈코인' 여기에 숨은 진짜 중요한 '의미'	NA
lsn3XnT880E	Director Kim Tak shares the reasons why you should be cautious about investing in US stocks this ...	NA
gQnFGv2bDnc	[그냥효] 1월 20일, 트럼프 취임식 첫날에 뜰 2025년 "투자 정답지"	NA
HUueyIEouwk	[모라구효] 지금부터 국장은 내가 이끈다!! 국장의 슈퍼히어로 '조반전' 등장	NA
bXftogPpsmU	국민들이 해외 주식으로 돈 버는걸 싫어하는 정부 #한나	NA
5B8FCvtPtLo	사고 방식이 우리와는 정반대입니다. 유대인이 행복한 '이유' | 장분도 패파컬리지 대표 [풀영상]	NA
pY_1DyuwYtk	[속보효] 한은총재 작심발언 "난 틀리지 않았다"	NA
TAWnA9POQZc	[그냥효] 미국의 생각이 180도 뒤집혔습니다. 지금부터 '이것' 모르시면 정말로 큰일납니다.	NA
Yix861urX8o	[Breaking News] The CPI is finally out. Thank you for your hard work... From now on, you need to ...	NA
fykGQihCTOM	[먼슬리구루] AI, AI, AI 2024년에 이어 2025년에도 AI입니다 [JP모건]	NA
2EMiqDVVG8I	[Monthly Guru] The US economy and stocks are at their peak again this year. But know this: [Goldm...	NA
L61kFwTypbU	[Monthly Guru] 5 Key Investment Points for 2025 from the World's Largest Asset Management Firm! [...	NA
sr9GHL2lZfM	[속보효] 미국 금리 급등!, 채권자경단의 등장? 투자는 어떻게 해야 하나?	NA
T4daRCejus4	I'll give you a comprehensive list of stocks to watch in 2025! | Kim Tak, Managing Director, Valu...	NA
J885SM3YfCo	올해도 미국 주식 잘될까? 이걸 꼭 아셔야 합니다!ㅣ김탁 밸류시스템자산운용 상무 [1부]	NA
QPAGaeiei4Q	[그냥효] 미국 역사상 가장 중요한 국가 개조 프로젝트가 시작됩니다!	NA
gEQJsD8PFBE	[모라구효] AI로봇 시대, 엔비디아가 현대차에게 손을 내민 이유	NA
irK_myl9MaA	[Breaking News] Big Employment Surprise: What Will Happen to the US Stock Market?	NA
tFZddrz-Nkw	이번 CES 2025의 주인공은 과연 누구일까? 두고봐야 할 기업과 섹터는?⎮정지훈 Asia2G 캐피털 제네럴 파트너 [풀영상]	NA
3AkaioMfHUM	한 번쯤 죽고 싶다는 기분이 들 때 반드시 해야 하는 생각 | 장분도 패파컬리지 대표 [3부]	NA
KVbQshTvAPQ	Koreans believe they need money first to achieve anything. That's a mistake. | Jang Bun-do, CEO o...	NA
ivqlIwej3Ts	유대인을 직접 만나고 깨달은 유대인 성공의 숨겨진 비결 | 장분도 패파컬리지 대표 [1부]	NA
Tki_4zmYmmc	[속보효] 위기의 대한민국, 한국은행의 역할은???	NA
VCsTsBTWXCk	[Breaking News] Today's second breaking news: The US is also in a state of national economic emer...	NA
9oEmBqHo6jc	Let's start investing in ETFs in the new year! A comprehensive guide to tailored ETF portfolios b...	NA
8BioWXm6EB4	[속보효] 하워드막스, 지금이 버블일까? 버블이 올까?	NA
psLG6VNx-wk	[Yeonsur's US Stock Market, Part 8] The Era of Everyone Having an AI Assistant Like Iron Man Is C...	NA
bzxh9vEEMSs	[연수르의 미국주식 7부] 좋은 걸 먹은 AI가 당연히 일을 더 잘합니다. '이 기업' 주목하세요	NA
tMaJ5XIfvzQ	[그냥효] 또 AI냐구요? 네 맞습니다. 2025년 AI 투자, 답안지 나온 것 같습니다	NA
RfB_yYb_e48	[Just Hyo] The sinking Republic of Korea! Nevertheless! There is hope!	NA
mSEp9FIlbZY	[모라구효] 연초부터 대폭락 기록중이지만 테슬라를 믿어봐도 좋은 이유 '3가지'	NA
DSF-MepN_uQ	테슬라의 AI 전략에는 왜 모든 시선이 집중되는가?⎮정지훈 Asia2G 캐피털 제네럴 파트너 [3부]	NA
G5H-oVUTmXM	Will Sangsang become the king of semiconductors? This is where the year is truly exciting. ⎮Jeong...	NA
4XpAFFIXLAc	CES2025의 핵심 키워드는?! 반드시 주목해야 하는 '이곳'⎮정지훈 Asia2G 캐피털 제네럴 파트너 [1부]	NA
W0epDECQjto	[먼슬리구루] 레이달리오, 다모다란, 레이시헌트, 데이비드테퍼, 하워드막스가 전하는 2025년에 돈 버는 투자처는 바로 '이곳' [풀영상]	NA
gMBhrogP4E4	[그냥효] 2025년 첫 영상이네요. 올해는 모두 돈 많이 버셨으면 좋겠습니다. 그런 의미에서 연간전망 바로 달릴게요	NA
3CePU4nmLrI	중국 군부 숙청, 대만 침공 시나리오...이것보다 중국을 더 크게 위협할 사건은 바로 '이것' 같아요 | 신형관 중국자본시장연구소 대표 [3부]	NA
APKERr35nhw	China is preparing for a historic monetary stimulus, but can it actually revive its economy? | Sh...	NA
U-FGMDtjDy4	이번에는 정말로 다르다는 중국의 반도체 굴기! 그 실체를 알려드립니다 | 신형관 중국자본시장연구소 대표 [1부]	NA
7oExVwVx004	[그냥효] 지금까지 연준 분석하신 분들 전부다 정말 수고 많으셨습니다. 그런데 말입니다...	NA
oapqArSp_Uk	[리뷰효] 미국과 중국의 패권전쟁의 종착연이 될 장소는 바로 '이곳'이 될 것 같습니다	NA
VMBGAPfj-7Y	[그냥효] 2025년 크립토 시장에는 국가 단위의 FOMO가 옵니다. 꽉 잡으세요	NA
Vs1r6U3P7uk	[월간아신 12월] AI 혁명의 폭풍속에서, 대한민국이 정말 답답하고 걱정됩니다 [풀영상]	NA
duKVmyft3vs	[속보효] 취임은 하지도 않았는데 삐걱거리기 시작한 두 남자, 트럼프와 파월의 심각한 갈등?!	NA
mCKrDJojSoU	[모라구효] 환율 1,500원 터치 직전!! 1,500원 돌파하면 우리가 해야할 일은?	NA
Kr-3lRKV1kE	테슬라 투자하려는 분들은 '이것' 반드시 기억하셔야 합니다. | 백수전 한국경제신문 기자 [풀영상]	NA
n9cn9ooYOdQ	[먼슬리구루] 달러가 완전 매말랐습니다. 그래서 미국이 안좋냐구요? 아뇨 좋아보여요 [3부-다모다란, 레이시헌트]	NA
xFOIECzh5PY	[먼슬리구루] 9월 FOMC 이후 '중국' 관련 주식은 전부다 쓸어담고 있는 거장의 묵직한 조언 [2부-데이빗테퍼, 하워드막스]	NA
kd_eIbPM1Co	[먼슬리구루] 세계는 1930년대로 돌아갈 것입니다. 미국식 고립주의의 본격적인 시작 [1부-레이달리오]	NA
_t5WVfNZi0g	미국주식 하는분은 12월 28일 오전 7시까지 무조건 해야 합니다 #한나	NA
eYI_9QaHg1s	[리뷰효] 대한민국 슈퍼리치들이 세운 2025년도 투자 계획이 공개되었습니다	NA
pE85v99ltzE	[Monthly Asin December] Aiming for the Next Semiconductor Leader? This Is the Place That Threaten...	NA
F33MSpkQdmY	[월간아신 12월] 시간이 멈춰버린 대한민국의 AI 산업, 차기 정권의 역할이 정말로 중요합니다 [2부]	NA
_bkEyfWHEEg	[월간아신 12월] 날아오르는 SK 하이닉스 2025년 반도체 시장의 중심이 되다? [1부]	NA
IaUOw9zEHIY	ISA, 연금저축, IRP 계좌는 만들었는데...그래서 어떤 종목(ETF) 사면 될까? #한나	NA
T7aQo-jEFq4	쉬어가야 하는 시기일까? 모두가 고개를 끄덕이는 순간이 위기 신호입니다 | 최준영 박사	NA
9v9y-Z7jQbY	2025년 조선주에 투자하실분은 반드시 '이것' 알고 투자하셔야 합니다 | 최광식 다올투자증권 이사 [풀영상]	NA
LYs1CP4HozA	[그냥효] 미국의 부채폭탄이 터진다?!!? 그 전에 반드시 알아둬야 할 것들을 정리해드립니다	NA
Qme8xdpHBr4	Tesla's market cap will reach $300 trillion? Why Elon Musk is so confident | Baek Su-jeon, Korea ...	NA
-OvF40M5cwc	테슬라 자율주행 최신근황, 냉정하게 팩트만 분석해보겠습니다 | 백수전 한국경제신문 기자 [1부]	NA
WjcvIDCbTXY	[모라구효] 코스피 매수콜 타이밍 분명히 옵니다. 언제요? 환율 1,500원 갈 때	NA
m0k_JoPot_U	Google's quantum computing technology? It's not that great, in my opinion. IonQ stock? It's about...	NA
jKDi8ez-x8I	[연수르의 미국주식 6부] 인간의 원초적 욕망을 건드는 산업입니다. 자그마치 800조가 이 시장으로 쏟아질 정도로 거대합니다	NA
R72AGmEvh1w	[연수르의 미국주식 5부] 미국의 밀레니얼 세대가 몰리고 있어요. 앞으로 필연적으로 성장할 수 밖는 시장은 '이곳'	NA
Lx24EsEyG20	[2024 투자자의 밤 강의 영상] 2025년을 대비하는 나만의 자산을 구축하기	NA
0aa0M2vNvao	[속보효] 15년만에 최저치 기록한 원화,,, 한국 경제의 미래는? 그리고 이번 조정에 대한 저의 생각까지	NA
GlZqsB4APLM	[Breaking News] The US stock market is hit by a downward spiral! The dollar is soaring! Powell is...	NA
kPTZhkhxVFk	Even if you think it's too late! You should do it. Even if it's in December | Author: Oh Gi-chan	NA
CwofVzgt3RU	몸이 건강해지고, 좋아지고 있다는 '착각' 팔란티어적 관점으로 보는 건강에 대해서 | 빅데이터닥터	NA
jdJjxBO5frk	[Breaking News] "No Interest Rate Cuts for the Time Being After December FOMC" December FOMC Prev...	NA
XizsRBJk8-o	코너에 제대로 몰린 중국의 결단! 전세계를 향해 뿌려댈 디플레이션 공습의 시작 | 최준영 박사	NA
VWv4RBvTguc	미안해 미안해 관세를 올리게 돼서 정말 미안해 그런데...뭐 어쩔건데? | 최준영 박사	NA
Chrm6n6xt9w	[그냥효] AI 버블 논란을 차갑게 식혀버릴 차세대 나스닥 슈퍼스타는 '이것'	NA
